Year,Series,Sector,Delivery coverage,Health service,Geopolitical Zone,State,GeoCode,Value
2021,Coverage of essential health services,Rural,Child Health,Anti-malaria treatment for children,,,NG,18.1
2021,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,North  Central,,NGNCZ06,20.4
2021,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,North East,,NGNEZ05,9.0
2021,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,North West,,NGNWZ04,18.2
2021,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,South East,,NGSEZ03,23.0
2021,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,South South,,NGSSZ02,20.5
2021,Coverage of essential health services,,Reproductive and Maternal Health,Modern contraceptive prevalence rate,South West,,NGSWZ01,29.9
2021,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,North  Central,,NGNCZ06,72.7
2021,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,North East,,NGNEZ05,55.1
2021,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,North West,,NGNWZ04,58.3
2021,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,South East,,NGSEZ03,94.4
2021,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,South South,,NGSSZ02,79.3
2021,Coverage of essential health services,,Reproductive and Maternal Health,Antenatal care coverage,South West,,NGSWZ01,83.3
2021,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,North  Central,,NGNCZ06,59.4
2021,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,North East,,NGNEZ05,34.1
2021,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,North West,,NGNWZ04,20.6
2021,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,South East,,NGSEZ03,91.3
2021,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,South South,,NGSSZ02,62.7
2021,Coverage of essential health services,,Reproductive and Maternal Health,Delivery in a health facility,South West,,NGSWZ01,79.3
2021,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,North  Central,,NGNCZ06,44.1
2021,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,North East,,NGNEZ05,31.3
2021,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,North West,,NGNWZ04,33.7
2021,Coverage of essential health services,,Child Health,Vacination/Immunization coverage,South East,,NGSEZ03,66.2
