Year,Series,Haemoglobin level,Sector,Wealth Index Quintile,Geopolitical Zone,Education Level,Maternity status,Age group,State,GeoCode,Value
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,North West,,,,,NGNWZ04,29.4
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,South East,,,,,NGSEZ03,34.3
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,South South,,,,,NGSSZ02,32.4
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,South West,,,,,NGSWZ01,20.3
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,None,,,,NG,33.5
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,Primary,,,,NG,28.6
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,Secondary,,,,NG,26.5
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,Post Secondary,,,,NG,19.8
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,,Pregnant,,,NG,33.0
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,,Breastfeeding,,,NG,30.0
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,,Neither,,,NG,27.0
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,,,15-19,,NG,28.6
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,,,20-29,,NG,28.5
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,,,30-39,,NG,28.8
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,,,40-49,,NG,27.4
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,,,,Abia,NGAB01,29.7
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,,,,Adamawa,NGAD02,16.4
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,,,,Akwa Ibom,NGAK03,27.2
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,,,,Anambra,NGAN04,35.0
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,,,,Bauchi,NGBA05,35.0
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,,,,Bayelsa,NGBY06,34.3
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,,,,Benue,NGBE07,22.7
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,,,,Borno,NGBO08,24.8
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,,,,Cross River,NGXR09,20.6
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,,,,Delta,NGDE10,32.8
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,,,,Ebonyi,NGEB11,45.3
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,,,,Edo,NGED12,28.5
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,,,,Ekiti,NGEK13,23.2
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,,,,Enugu,NGEN14,27.4
2018,"Prevalence of moderate or severe food insecurity in the population, based on the Food Insecurity Experience Scale (FIES)",Moderate 8.0-10.9 g/dl,,,,,,,Gombe,NGGO15,29.9
